,CVE_SUN,ej30,n,e,d,lq,NOM_SUN
1,57,115,6.29,58661,1.1,5.7,Celaya
2,58,120,6.56,64422,1.21,5.41,Tianguistenco
3,6,46,2.52,32514,0.61,4.11,Monclova-Frontera
4,37,50,2.73,65115,1.23,2.23,Canc£n
5,17,50,2.73,68965,1.3,2.11,Acapulco
6,52,23,1.26,34920,0.66,1.91,Coatzacoalcos
7,2,65,3.55,110356,2.08,1.71,Tijuana
8,36,62,3.39,109660,2.06,1.64,Querétaro
9,13,854,46.69,1583969,29.81,1.57,Valle de MX
10,42,33,1.8,65374,1.23,1.47,Tampico
11,7,9,0.49,19743,0.37,1.32,Piedras Negras
12,53,13,0.71,29724,0.56,1.27,Córdoba
13,29,14,0.77,35629,0.67,1.14,Cuautla
14,33,6,0.33,15696,0.3,1.11,Tehuantepec
15,14,53,2.9,164788,3.1,0.93,León
16,30,17,0.93,52932,1,0.93,Tepic
17,50,8,0.44,26819,0.5,0.87,Orizaba
18,32,18,0.98,63190,1.19,0.83,Oaxaca
19,55,41,2.24,156544,2.95,0.76,Mérida
20,40,3,0.16,14670,0.28,0.59,Guaymas
21,15,2,0.11,9965,0.19,0.58,SnF Rincón
22,23,2,0.11,11256,0.21,0.52,Ocotlán
23,24,9,0.49,52145,0.98,0.5,Toluca
24,22,6,0.33,36881,0.69,0.47,Pto Vallarta
25,38,20,1.09,130952,2.46,0.44,SLP
26,25,25,1.37,169032,3.18,0.43,Morelia
27,21,59,3.23,401577,7.56,0.43,Guadalajara
28,1,16,0.87,109376,2.06,0.42,Aguascalientes
29,4,17,0.93,129092,2.43,0.38,La Laguna
30,8,4,0.22,33419,0.63,0.35,Colima-Villa de A.
31,28,9,0.49,80122,1.51,0.33,Cuernavaca
32,3,7,0.38,64495,1.21,0.32,Mexicali
33,34,5,0.27,48381,0.91,0.3,Puebla-Tlaxcala
34,56,4,0.22,55439,1.04,0.21,Zac.-Guadalupe
35,45,2,0.11,30118,0.57,0.19,Nuevo Laredo
36,46,6,0.33,97362,1.83,0.18,Tlax.-Apizaco
37,18,3,0.16,49112,0.92,0.18,Pachuca
38,31,16,0.87,267663,5.04,0.17,Monterrey
39,11,4,0.22,101006,1.9,0.12,Juárez
40,12,3,0.16,88018,1.66,0.1,Chihuahua
41,48,3,0.16,93741,1.76,0.09,Xalapa
42,5,2,0.11,66565,1.25,0.09,Saltillo
43,41,5,0.27,173916,3.27,0.08,Villahermosa
